,week,tm_name,opp_name,tm_location,tm_score,opp_score
260,18,Panthers,Saints,A,10,7
261,18,Vikings,Bears,A,29,13
262,18,Steelers,Browns,H,28,14
263,18,Texans,Colts,A,32,31
264,18,Dolphins,Jets,H,11,6
265,18,49ers,Cardinals,H,38,13
266,18,Football Team,Cowboys,H,26,6
267,18,Broncos,Chargers,H,31,28
268,18,Eagles,Giants,H,22,16
269,18,Seahawks,Rams,H,19,16
270,18,Lions,Packers,A,20,16
271,19,49ers,Seahawks,H,41,23
272,19,Jaguars,Chargers,H,31,30
273,19,Bills,Dolphins,H,34,31
274,19,Giants,Vikings,A,31,24
275,19,Bengals,Ravens,H,24,17
276,19,Cowboys,Buccaneers,A,31,14
277,20,Chiefs,Jaguars,H,27,20
278,20,Eagles,Giants,H,38,7
279,20,Bengals,Bills,A,27,10
280,20,49ers,Cowboys,H,19,12
281,21,Eagles,49ers,H,31,7
282,21,Chiefs,Bengals,H,23,20
283,22,Chiefs,Eagles,N,38,35
